src,target
excessive alcohol use or acute alcohol withdrawal,oormatige alkoholgebruik of akute alkoholontrekking
define evaporation,definieer verdamping
competition for teachers,kompetisie vir onderwysers
councillors,raadslede
can a sick child get immunisations,kan n siek kind ingent word
franchises in accommodation establishments,agentskappe franchises
execution and aspects of improvement,uitvoer en aspekte van verbetering
complete the following exercises in your notebook,voltooi die volgende oefeninge in u aantekeningboek
how wide something is,breedte hoe wyd iets is
b identifies the sales targets for the next few weeks,b identifiseer die verkoopsmikpunte vir die volgende paar weke
list the three main muscles that flex the elbow,noem die drie vernaamste spiere wat die elmboog flekseer
study division d,leerafdeling d
explain and illustrate a threedimensional object,verduidelik en illustreer n driedimensionele vorm
fire and disaster management,brand en rampbestuur
selfconcept and identity,selfkonsep en identiteit
it may be useful to include illustrations or examples,dit mag nuttig wees om illustrasies of voorbeelde te gebruik
extent of refund,mate van terugbetaling
forms of assessment viii,vorme van evaluering viii
developments in the interior,binnelandse verwikkelings
practice do i know how to do it,praktyk weet ek hoe om dit te doen
monitoring of execution of the procurement plan,moniteringen uitvoering van die verkrygingsplan
however neither have fixed responses,nie een van die twee het egte vaste response nie
and act,junie en
she is also concerned that there has been shoplifting,sy is ook bekommerd dat daar winkeldiefstal plaasgevind het
explain the importance of market segmentation and,die belangrikheid van marksegmentering te kan verduidelik en
differentiate between assertiveness passivity and aggressiveness,te onderskei tussen selfgelding passiwiteit en aggressiwiteit
what does the bursary cover,wat word deur die beurs gedek
name the characteristics of culture and discuss it,die kenmerke van kultuur te kan noem en bespreek
directorate veterinary services,direktoraat veeartseny
use appropriate examples to illustrate arguments,gebruik toepaslike voorbeelde om argumente te illustreer
noncurrent liabilities mortgage loan jozi bank pa,niebedryfslaste verbandlening jozi bank pj
answer any three questions of marks each,beantwoord enige drie vrae van punte elk
give one reason for your choice in question,gee een rede vir jou keuse in vraag
show your work in the space provided,wys jou bewerkings in die ruimte wat daarvoor voorsien is
diabetic nephropathy,diabetiese nefropatie
also look at patterns of fertility over time table,kyk ook na patrone van vrugbaarheid oor tyd tabel
lower order remember recall recognise understand explain describe,laer orde onthou herroep herken verstaan verduidelik beskryf
b and,d en
the bmw can be sold on january for,hy kan die bmw op januarie vir
state the characteristics and advantages of a rubric and,die kenmerke en voordele van n rubriek te noem en
study section audit practice issues,evaluering gevolgtrekking en verslagdoening
a solar panel produces direct current with low voltage,n sonpaneel produseer gelykstroom met lae spanning
productive cough that persists longer than months,produktiewe hoes wat vir langer as maande aanhou
chapter rural settlement and urban settlement,hoofstuk landelike en stedelike nedersetting
drafting the operational and capital budgets,opstel van die bedryfs en kapitaalbegrotings
attended all mintec working group workshops,alle werkswinkels van die mintecwerksgroep bygewoon
substantiate the facts with a logical presentation of acceptable facts,staaf die feite met die logiese aanbieding van aanvaarbare feite
sagnc south african geographical names council,deel a algemene inligting departement van kultuursake en sport
emission and absorption spectra,emissie en absorpsiespektra
this sub programme supports igds in the following ways,hierdie subprogram ondersteun igos op die volgende wyses
evaluate expressions of probability,beoordeel uitdrukkings van waarskynlikheid
practical application the computerdesigned layout of a staff newsletter,praktiese toepassing die rekenaarmatige uitleg van n nuusbrief
illustrate a template for policy evaluation,n profielvorm template vir beleidsevaluasie te kan illustreer
in he started farming with maize and livestock,in het hy met mielies en vee begin boer
evaluate you knowledge according to the following brief sample questions,evalueer jou kennis met die volgende kort voorbeeldvrae
electric motors and generators,elektriese motors en generators
you should spend approximately notional hours on this assignment,u moet ongeveer geskatte studieure aan hierdie werksopdrag spandeer
business studies exemplar,besigheidstudies model
his contact info,sy kontakbesonderhede is soos volg
optional study material for study section,opsionele studiemateriaal vir leergedeelte
revision and preparation for the examination,hersiening en eksamenvoorbereiding
establishing participatory observation,die vestiging van deelnemende waarneming
argue the merits of ethics and personal freedom,die meriete van etiek en persoonlike vryheid te debatteer
work through example in chapter in esm,werk deur voorbeeld in esm hoofstuk
help us to help them,help ons om hulle te help
kidney physiology is also known as renal physiology,nierfisiologie staan ook as renale fisiologie bekend
the steps here should be familiar to you,hierdie stappe behoort vir jou bekend te wees
the office or computer workstation,die kantoor of rekenaarwerkstasie
foreign sector savings,buitelandse sektor besparings
cross out the beads to show,trek n streep deur die krale om te wys
this is the most common cause,dit is die mees algemene oorsaak
the tourism multiplier implies that the,die toerismevermenigvuldiger impliseer dat die
nb the appears is not essential,nb die wil voorkom asof is nie essensieel nie
main complaints and or needs experience by patient,hoofklagtes en of behoeftes volgens pasint ervaring
study unit microbial growth,leereenheid mikrobiese groei
what reactions occur,watter reaksies kan daar wees
read die letters of peter attentively,lees die briewe van petrus aandagtig deur
now we are going to classify substances in another way,ons gaan stowwe nou op n ander manier klassifiseer
current year adjustments to prior year balances,huidige jaar se aansuiwerings tot saldos van vorige jare
reading and viewing hours per week cycle,lees en kyk uur per tweeweeklikse siklus
phase term maintenance compression and cylinderleakage tests,fase kwartaal instandhouding kompressie en silinderlekkasietoetse
rectangular prisms and other prisms,reghoekige en ander prismas
name two tests that can be done with a multimeter,noem twee toetse wat met n multimeter gedoen kan word
give the ratio in the simplest form,gee die verhouding in die eenvoudigste vorm
presentation during contact session,aanbieding van praatjies tydens die kontaksessie
calculated by,bereken deur
equity citizens expect a fair share,billikheid inwoners verwag n regmatige aandeel
follow a systematic and logical working pattern,volg n stelselmatige en logiese werkpatroon
to sort a column,om n kolom te sorteer
atlantis in western subdistrict,atlantis in die westelike subdistrik
explain the functional operation of a diac,verduidelik die funksionele werking van n diak
economic systems mixed economy,ekonomiese stelsels n gemengde ekonomie
four ways in which runoff can be prevented,vier maniere waarop afloop voorkom kan word
grammatical in the grammaticohistorical approach,grammaties binne die grammatieshistoriese benadering
targets must be set and met,teikens moet gestel en bereik word
study section differential diagnoses for upper respiratory tract infections,leergedeelte differensile diagnoses vir boonste lugweginfeksies
can we write first second third in a shorter way,kan ons eerste tweede derde op n korter manier skryf
quarterly reports and memos completed,kwartaallikse verslae en memorandums afgehandel
study section the cost of meals and budgeting,leergedeelte voorbereiding van maaltye vir die gesin
advances other,voorskotte ander
which answer is not true,watter antwoord is onwaar
the current grades subjects as listed in the policy document,die huidige graad vakke soos dit verskyn in die beleidsdokument
effects of endurance analysing,invloed van uithouvermo ontleed
set the dates,bepaal die datums vir albei eksamens
inferring meaning and conclusions,afleiding van betekenis en gevolgtrekkings
human capital development the western cape context,n menslikekapitaalontwikkelingstrategie vir die weskaap
what is your opinion on the topics mentioned above,wat is jou standpunt rakende die twee aangeleenthede hierbo genoem
study the following in your reader,bestudeer die volgende in die leesbundel
appendix b working material,bylaag b werkmateriaal
name and discuss the six steps of the planning process,noem en bespreek die ses stappe in die beplanningsproses
planning for monitoring establishing a pms,beplanning vir monitering instelling van n pbs
study unit space movement of rigid bodies,leereenheid ruimtelike beweging van star liggame
breasts larger full and heavy,borste vergroot vol en swaar
in total the target of contacts interactions were exceeded,in totaal is die teiken van kontakte wisselwerkings oortref
painting in england,skilderkuns in frankryk
information about the pepfar contract was presented,inligting oor die pepfarkontrak word aangebied
unique wide variety of goods available to be purchased,unieke wye verskeidenheid goedere beskikbaar
one point is equal to unit of an exchange rate,een punt is gelyk aan eenheid van n wisselkoers
patients with phaeochromocytoma usually require treatment with an alphaadrenergic blocker,pasinte met feochromositoom benodig gewoonlik behandeling met n alfaadrenergiese blokkeerder
the changing business environment is known for increased competition,die veranderende sakeomgewing word deur verhoogte kompetisie gekenmerk
techniques in mapping of soil pages,tegnieke in grondkartering bladsy
written in the present past tense,kort en helder taal
what do these processes involve,wat behels hierdie prosesse
relate body plans to mode of life,verbind liggaamsplanne met lewenswyses
you have completed study unit,u het leereenheid voltooi
the role of the study guide,rol van die studiegids
the users of a business plan,die gebruikers van n ondernemingsplan
allocation of content to essay and sourcebased questions,toekenning van inhoud aan opstelle en brongebaseerde vrae
total decrease in profit,totale afname in wins
appointments,aanstellings
we have noted the following,ons het die volgende opgelet
next most common words,laaste hofrekwensie woorde
i informal or daily assessment tasks and,i informele of daaglikse assesseringstake en
why did you visit this website today,hoekom het jy vandag die webwerf besoek
discuss the budgets of a small business,die begrotings van n klein besigheid te kan bespreek
welcome to the study of economic and management sciences,baie welkom by die studie van ekonomiese en bestuurswetenskappe
grade overview,graad oorsig
human resource management contact,mensehulpbronbestuur kontak
my role as a lecturer ix,my rol as dosent ix
facilitate integration with relevant directorates eg,fasiliteer integrasie met die betrokke direktorate bv
physical conditioning is evaluated as well,fisieke kondisionering word ook evalueer
what is an sgbs term of office,wat is n sbllid se dienstermyn
identify the various categories of pharmacies,verskillende kategorie van apteke kan noem
prepare master files for overall budget process,berei meesterlers voor vir oorhoofse begrotingsproses
bases like,basisse soos
nursing theories in community nursing,verpleegteorie binne gemeenskapsverpleegkunde
why can preservation be regarded as a processing of food,waarom kan preservering beskou word as n prosessering van voedsel
may,mei
to improve the vision of people with cataracts,om die sig van mense met katarakte te verbeter
environment of financial management,omgewing van finansile bestuur
there is no place for passengers,daar is nie plek vir passasiers nie
can you express yourself in an essay or comprehension,kan jy jou gedagtes uitdruk in n opstel of begripstoets
guarantee none,waarborg geen
the code of conduct is distributed to all staff annually,die gedragskode word jaarliks onder al die personeellede versprei
a performance rate of was achieved,n prestasiekoers van is behaal
limited to capital contributions of partners,beperk tot kapitalebydraes van vennote
language strategy of the nwu,taalstrategie van die nwu
this will address questions regarding the feasibility of the enterprise,dit sal vrae rondom die lewensvatbaarheid van die bedryf beantwoord
department of human settlements western cape,weskaapse regering se menslike nedersettings
the concepts education and training,die begrippe onderwys en opleiding
the causes of market failures consequences of market failures,oorsake van markmislukkings
short definition preservation and conservation of archives,kort omskrywing bewaring en beskerming van argiewe
management and governance excellence,uitnemendheid in algemene en korporatiewe bestuur
factorize algebraic expressions,faktoriseer algebraese uitdrukkings
inpatient death in district hospitals,binnepasintsterftes in distrikshospitale
the implementation of expertise,die implementering van kundigheid
the following material can be read for more information,die volgende materiaal kan gelees word vir meer inligting
unsatisfactory raw materials returned to suppliers,onbevredigende grondstowwe aan verskaffers teruggestuur
no output or only incorrect output,geen afvoer nie of slegs foutiewe afvoer
legislation overview,wetgewing oorsig
answer one of the following questions question or,beantwoord een van die volgende vrae vraag of
able to support claims with evidence,ook in staat om beweringe met bewyse te ondersteun
refer to lines the wild fishinggrounds of the deep atlantic,d is waar die verteller die padmaker opgelaai het
discuss the role of ph in food preservation,die rol van ph in voedselpreservering te bespreek
stresses of new parenthood and coping with such stress,spanning van nuwe ouerskap en die hantering daarvan
module name and code,modulenaam en kode
the physical and functional expression of a gene,die fisiese en funksionele uitdrukking van n geen
includes meeting allowance for heritage western cape,sluit vergaderingstoelae vir erfenis weskaap in
details of proposed type of ammunition,besonderhede van voorgestelde soort ammunisie
accounting policies,rekeningkundige beleid
how could you integrate history in this,hoe sou jy geskiedenis hierby kon integreer
time allowed term learner name examination number school,praktiese assesseringstaak elektriese tegnologie toegelate tyd kwartaal leerder eksamennommer skool
wonderful ideas do not only come from extremely gifted people,wonderlike idees kom nie net van uiters begaafde mense nie
the base consists of two drawers and legs,die basis bestaan uit een of twee laaie en pote
study the introduction of teachers guide gr pp bateleur panel,bestudeer die inleiding van onderwysersgids gr pp bateleurpaneel
the lecturer will divide students into groups,die studente sal in groepe verdeel word deur die dosent
signature of parent guardian,handtekening van ouer voog
ask the patient to clench his her fist if necessary,vra pasint om hand toe te maak indien nodig
discuss how such a state compares with an atheistic state,bespreek hoe so n staat met n atestiese staat vergelyk
unit for business mathematics and informatics,eenheid vir bedryfswiskunde en informatika
quota or rights fees received,kwotafooie of fooie vir visvangregte ontvang
a protective function of the system,a beskermingsfunksie van die stelsel
integration in the curriculum and,integrasie in die kurrikulum en
part report of the provincial government western cape audit committee,deel verslag van die ouditkomittee
recommendation regarding the application,aanbeveling ten opsigte van die aansoek
number of enterprise budgets updated,getal begrotings vir ondernemings bygewerk
policies rules and regulations of national and provincial departments,beleid rels en regulasies van nasionale en provinsiale departemente
biological organic farming d financial risks,d finansile risikos
is the child on medication,is die kind op medikasie
number patterns within the context of financial calculations,getalpatrone binne die konteks van finansile berekeninge
oenology theory iii,wynkunde teorie iii
the amount of revenue can be measured reliably,die inkomstebedrag betroubaar bereken kan word
compile a detailed conclusion about her lifestyle and eating habits,stel n volledige konklusie op oor haar leefwyse en eetgewoontes
application for compulsory licences,aansoek om verpligte lisensies
arthur participates in motorcycle racing on a regular basis,at is n gereelde deelnemer aan motorfietswedrenne
responsible for financial management of specific projects research funds,verantwoordelik vir finansile bestuur van bepaalde projekte navorsingsfondse
handle this question with caution,hierdie vraag moet versigtig hanteer word
income tax net profit after tax,inkomstebelasting netto wins na belasting
study unit creative play,leereenheid kreatiewe spel
p attorney sends request to the clerk of the court,e prok stuur versoek na die klerk van die hof
create and run public industrial corporations,stig en bedryf openbare nywerheidskorporasies
can data be altered possible risk,kan data gewysig word moontlike risiko
creation of job opportunities,skepping van werksgeleenthede
example no kc expression correct substitution,voorbeeld geen kcuitdrukking korrekte substitusie
any acceptable answer by the learner is allowed,enige aanvaarbare antwoord deur die leerling moet aanvaar word
statements by members,stellings deur lede
discuss the law of criminal procedure pretrial,bespreek die strafprosesreg voorverhoor
understand and justify the importance of merchandising,die belang van handelswarebestuur te verstaan en te kan verdedig
any valid comment,enige geldige kommentaar
participants complete the tasks listed on page,deelnemers voltooi die take op bladsy
estimate the feasibility of a research project,die uitvoerbaarheid van n navorsingsprojek te beoordeel
assess the level of functioning of the mentally retarded individual,die funksioneringsvlak van die geestesvertraagde individu te kan beraam
a block assessment could then be made if necessary,indien nodig kan n blokaanpassing deur die vakadviseur gemaak word
enthusiasm and creativity during the presentation,entoesiasme en kreatiwiteit tydens die aanbieding
assignment individual assignment,opdrag individuele opdrag
less comprehensive all elements function as specified,minder uitgebreid alle elemente funksioneer soos gespesifiseer
selfcontrol,selfbeheersing
problem south african politics is not clearly defined,probleem suidafrikaanse politiek word nie duidelik gedefinieer nie
prof coetzee is the author of seven books,prof coetzee is die outeur van sewe boeke
interpretations of a variety of religions towards one another,interpretasies van n verskeidenheid religie teenoor mekaar
all the best with the exams,baie sterkte vir die eksamen
decide on the relevant financial indicator s,besluit op die relevante finansile aanwyser s
introduction to the nursing process in psychiatric nursing science,inleiding tot die verpleegproses in psigiatriese verpleegkunde
safe emergency referral and transfer,veilige noodverwysing en vervoer
the court held that,die hof het bevind dat
rating the employee,gradering van die werknemer
definition of employees,definisie van werknemers
destruction of public property,vernietiging van openbare eiendom
choosing the learning outcomes,kies die leeruitkomste
these include both hard and soft life skills development programmes,dit sluit in sessies oor lewensvaardighede en werksvaardighede
table employment and vacancies by programme as at march,tabel indiensneming en vakatures per program soos op maart
spatial transformation across all municipal districts,ruimtelike transformasie alle munisipale distrikte
director of communications,direkteur van kommunikasie
population density x population distribution x,bevolkingsdigtheid x bevolkingsverspreiding x
distinguish between two types of balance,onderskei tussen twee soorte balans
annual financial statements,die finansile jaarstate gesien word
all local municipalities fall within the boundaries of district municipalities,alle plaaslike munisipaliteite val binne die grense van distrikmunisipaliteite
food and refreshments manager,voedsel en verversingsbestuurder
m frame frame,m raam raam
satisfactorily demarcate and illustrate the cbd,n ssk bevredigend af te baken en dit te illustreer
define safety awareness in the context of foundation phase education,in konteks van grondslagfase onderwys definieer veiligheidsbewustheid
city of cape town,kuns en kultuur
place of conference,duur van voorverhoorkonferensie
mind the gap caps grade accounting chapter companies,hoofstuk maatskappye
review for published in may,oorsig vir in mei gepubliseer
wednesday the stage is finally set,woensdag die kruis is nou onmiskenbaar
